restaurant_title,restaurant_address,restaurant_page,restaurant_note,restaurant_types,meal_type,sub_category,district
程味珍滷味意麵,臺北市萬華區西寧南路63之2號,https://ifoodie.tw/restaurant/559d3ffbc03a103ee86c577a-%E7%A8%8B%E5%91%B3%E7%8F%8D%E6%BB%B7%E5%91%B3%E6%84%8F%E9%BA%B5,https://ifoodie.tw/blog/6833a3504be4ce2773b0742c/link,找相似餐廳;小吃;宵夜;午餐;晚餐,0,台式,萬華區
KASKYCOFFEE,臺北市信義區松高路77號33樓,https://ifoodie.tw/restaurant/682c817f927f8058f6abbeda-KA-SKY-COFFEE,https://ifoodie.tw/blog/683469b7a499f7c48486eed5/link,找相似餐廳;咖啡;早午餐;下午茶,0,其他,信義區
鬍子國王西門kingofbeard蛋捲專賣店,臺北市萬華區中華路一段144之6號捷運西門站六號出口步行1分鐘,https://ifoodie.tw/restaurant/68346a77927f8058f7c27a98-%E9%AC%8D%E5%AD%90%E5%9C%8B%E7%8E%8B-%E8%A5%BF%E9%96%80-king-of-bear,https://ifoodie.tw/blog/6834306d350bbc65ab0f0bdd/link,甜點;咖啡;午餐;晚餐,0,其他,萬華區
荷李活茶街,臺北市大安區忠孝東路四段45號2樓,https://ifoodie.tw/restaurant/5f96363202935e55d2076468-%E8%8D%B7%E6%9D%8E%E6%B4%BB%E8%8C%B6%E8%A1%97,https://ifoodie.tw/blog/68340f9aeb74c44eb4668c1e/link,找相似餐廳;港式料理;中式料理;早午餐,0,中式,大安區
川業肉圓,臺北市萬華區廣州街165號,https://ifoodie.tw/restaurant/559d233bc03a103ee86c4436-%E5%B7%9D%E6%A5%AD%E8%82%89%E5%9C%93,https://ifoodie.tw/blog/6833d8537be9c3005d1dcfe1/link,找相似餐廳;小吃;午餐;晚餐,0,台式,萬華區
傳統之最豆花堂,臺北市北投區大同街71號,https://ifoodie.tw/restaurant/559d9359c03a103ee86c8c20-%E5%82%B3%E7%B5%B1%E4%B9%8B%E6%9C%80%E8%B1%86%E8%8A%B1%E5%A0%82,https://ifoodie.tw/blog/6833ade57be9c3efc752e66f/link,找相似餐廳;甜點;小吃;冰品飲料,0,台式,北投區
北平都一處,臺北市信義區仁愛路四段506號,https://ifoodie.tw/restaurant/559d6d12c03a103ee86c74fe-%E5%8C%97%E5%B9%B3%E9%83%BD%E4%B8%80%E8%99%95,https://ifoodie.tw/blog/6834692c1a72b7c121237317/link,找相似餐廳;中式料理;火鍋;合菜;午餐,0,中式,信義區
牛朗現宰黃牛涮涮鍋,臺北市北投區中央南路二段129號,https://ifoodie.tw/restaurant/64572afee94eda15f167b213-%E7%89%9B%E6%9C%97%E7%8F%BE%E5%AE%B0%E9%BB%83%E7%89%9B%E6%B6%AE%E6%B6%AE%E9%8D%8B,https://ifoodie.tw/blog/6833bf8cdcb38555774676e1/link,找相似餐廳;火鍋;午餐;晚餐,0,台式,北投區
黃家香腸,臺北市中正區泉州街32之3號,https://ifoodie.tw/restaurant/559d6be1c03a103ee86c7459-%E9%BB%83%E5%AE%B6%E9%A6%99%E8%85%B8,https://ifoodie.tw/blog/6833a45e336e3c27e0e1eccf/link,找相似餐廳;小吃;下午茶;韓式料理,0,台式,中正區
吉祥松江店,臺北市中山區錦州街222號,https://ifoodie.tw/restaurant/5694c3de699b6e3e1424e6d2-%E5%90%89%E7%A5%A5%E6%9D%BE%E6%B1%9F%E5%BA%97,https://ifoodie.tw/blog/683486377be9c33202ea28fb/link,找相似餐廳;甜點;小吃;冰品飲料,0,台式,中山區
BHC炸雞台北大巨蛋店,臺北市信義區忠孝東路四段515號b2,https://ifoodie.tw/restaurant/67389474927f80afb5888e26-BHC%E7%82%B8%E9%9B%9E-%E5%8F%B0%E5%8C%97%E5%A4%A7%E5%B7%A8%E8%9B%8B%E5%BA%97,https://ifoodie.tw/blog/6833181b57972c580a98f6af/link,找相似餐廳;午餐;晚餐;雞料理,0,其他,信義區
樂天羊肉,臺北市中正區羅斯福路一段25號,https://ifoodie.tw/restaurant/649d2224e94eda71fe8e4dbb-%E6%A8%82%E5%A4%A9%E7%BE%8A%E8%82%89,https://ifoodie.tw/blog/6833181857972c580a98f6ab/link,找相似餐廳;小吃;午餐;晚餐,0,台式,中正區
長春亰華海鮮餐廳,臺北市中山區長春路26號,https://ifoodie.tw/restaurant/682dd2dc927f8058f7b0258a-%E9%95%B7%E6%98%A5%E4%BA%B0%E8%8F%AF%E6%B5%B7%E9%AE%AE%E9%A4%90%E5%BB%B3,https://ifoodie.tw/blog/683317370a6f6354875b3b7b/link,找相似餐廳;午餐;晚餐;海鮮,0,其他,中山區
彈芽麵,臺北市北投區裕民一路40巷15號,https://ifoodie.tw/restaurant/5818d8d32756dd31d0260f78-%E5%BD%88%E8%8A%BD%E9%BA%B5,https://ifoodie.tw/blog/6832524270123e44ee98a745/link,找相似餐廳;小吃;午餐;晚餐,0,台式,北投區
王艇長酢醬麵,臺北市士林區前港街18號,https://ifoodie.tw/restaurant/5a43e1322756dd2df4355518-%E7%8E%8B%E8%89%87%E9%95%B7%E9%85%A2%E9%86%AC%E9%BA%B5,https://ifoodie.tw/blog/6832524170123e44ee98a741/link,找相似餐廳;小吃;牛肉麵;午餐;晚餐,0,台式,士林區
銀記手擀刀切牛肉麵,臺北市中正區八德路一段82巷9弄15號,https://ifoodie.tw/restaurant/559d0550c03a103ee86c3448-%E9%8A%80%E8%A8%98%E6%89%8B%E6%93%80%E5%88%80%E5%88%87%E7%89%9B%E8%82%89%E9%BA%B5,https://ifoodie.tw/blog/6833182157972c580a98f6b2/link,找相似餐廳;小吃;牛肉麵;午餐;晚餐,0,台式,中正區
池音鶏白湯ラーメン,臺北市大同區赤峰街23巷25號,https://ifoodie.tw/restaurant/62d41fd1873d791e17346e4d-%E6%B1%A0%E9%9F%B3-%E9%B6%8F%E7%99%BD%E6%B9%AF-,https://ifoodie.tw/blog/6833181e57972c580a98f6b1/link,找相似餐廳;拉麵;日本料理;晚餐,0,日式,大同區
雙連巷仔內大腸煎,臺北市大同區南京西路25巷20號,https://ifoodie.tw/restaurant/559d62bfc03a103ee86c6d25-%E9%9B%99%E9%80%A3%E5%B7%B7%E4%BB%94%E5%85%A7%E5%A4%A7%E8%85%B8%E7%85%8E,https://ifoodie.tw/blog/6832deb88a2f6ff7fa096285/link,找相似餐廳;小吃;麵食,0,台式,大同區
栢麗廳(晶華酒店),臺北市中山區中山北路二段39巷3號,https://ifoodie.tw/restaurant/559d5d9ec03a103ee86c69ce-%E6%A0%A2%E9%BA%97%E5%BB%B3-%E6%99%B6%E8%8F%AF%E9%85%92%E5%BA%97-,https://ifoodie.tw/blog/6832c2d5bb0b53c799bc1f94/link,找相似餐廳;素食;甜點;日本料理;早餐,0,日式,中山區
順園小館,臺北市中正區汀州路三段281號,https://ifoodie.tw/restaurant/559d63abc03a103ee86c6e04-%E9%A0%86%E5%9C%92%E5%B0%8F%E9%A4%A8,https://ifoodie.tw/blog/6832524270123e44ee98a747/link,找相似餐廳;中式料理;火鍋;合菜;午餐,0,中式,中正區
福の涼麵,臺北市中山區龍江路296號,https://ifoodie.tw/restaurant/607457787cc7fc760cac2120-%E7%A6%8F-%E6%B6%BC%E9%BA%B5,https://ifoodie.tw/blog/6832524270123e44ee98a749/link,找相似餐廳;小吃;宵夜;午餐;晚餐,0,台式,中山區
陸光小館,臺北市松山區敦化北路165巷4號,https://ifoodie.tw/restaurant/653917b90fbeb10d72314ae9-%E9%99%B8%E5%85%89%E5%B0%8F%E9%A4%A8,https://ifoodie.tw/blog/683251d8e2cdd644cad94943/link,找相似餐廳;中式料理;合菜;午餐;晚餐,0,中式,松山區
貳樓餐廳SecondFloorCafe仁愛店,臺北市中正區仁愛路二段108號,https://ifoodie.tw/restaurant/559d2fd0c03a103ee86c4d03-%E8%B2%B3%E6%A8%93%E9%A4%90%E5%BB%B3Second-Floor-Caf,https://ifoodie.tw/blog/6832c34c49746dc7ba878862/link,找相似餐廳;咖啡;義式料理;約會餐廳,0,義式,中正區
東園快餐,臺北市萬華區東園街122號,https://ifoodie.tw/restaurant/68328208eb74c49acd340889-%E6%9D%B1%E5%9C%92%E5%BF%AB%E9%A4%90,https://ifoodie.tw/blog/683281eaeb74c4aaef73d655/link,小吃;午餐;晚餐,0,台式,萬華區
六窟溫泉餐廳,臺北市北投區湖底路81號,https://ifoodie.tw/restaurant/632f064c7cc7fc29b4ff9316-%E5%85%AD%E7%AA%9F%E6%BA%AB%E6%B3%89%E9%A4%90%E5%BB%B3,https://ifoodie.tw/blog/683280f4927f80570305e803/link,找相似餐廳;午餐;晚餐;雞料理,0,其他,北投區
闊佬shabushabu,臺北市中山區樂群二路198號,https://ifoodie.tw/restaurant/5d7f9a7d2756dd7551c2e327-%E9%97%8A%E4%BD%AC-shabu-shabu,https://ifoodie.tw/blog/6833181a57972c580a98f6ae/link,找相似餐廳;火鍋;精緻高級;約會餐廳,0,台式,中山區
妙口四神湯.肉包專賣店,臺北市大同區民生西路388號,https://ifoodie.tw/restaurant/559dc2fdc03a103ee86ca6f3-%E5%A6%99%E5%8F%A3%E5%9B%9B%E7%A5%9E%E6%B9%AF-%E8%82%89%E5%8C%85%E5%B0%88%E8%B3%A3%E5%BA%97,https://ifoodie.tw/blog/683317ae41876654a66fd08e/link,找相似餐廳;小吃;午餐;下午茶,0,台式,大同區
六合極品海鮮鍋物,臺北市中山區北安路621巷30號,https://ifoodie.tw/restaurant/67471c95927f800531930da4-%E5%85%AD%E5%90%88%E6%A5%B5%E5%93%81%E6%B5%B7%E9%AE%AE%E9%8D%8B%E7%89%A9,https://ifoodie.tw/blog/683317a741876654a66fd08d/link,找相似餐廳;火鍋;午餐;晚餐,0,台式,中山區
沾美西餐廳,臺北市大安區仁愛路四段77號B1樓,https://ifoodie.tw/restaurant/559d6514c03a103ee86c6f78-%E6%B2%BE%E7%BE%8E%E8%A5%BF%E9%A4%90%E5%BB%B3,https://ifoodie.tw/blog/6832df62d8b71bf86cc012b8/link,找相似餐廳;牛排;美式料理;日本料理,0,日式,大安區
花娘小館南京店,臺北市松山區南京東路五段6號2樓,https://ifoodie.tw/restaurant/6724d597927f80e8c7756aae-%E8%8A%B1%E5%A8%98%E5%B0%8F%E9%A4%A8-%E5%8D%97%E4%BA%AC%E5%BA%97,https://ifoodie.tw/blog/68326eea1ccd3273a7551b6b/link,找相似餐廳;中式料理;合菜;午餐;晚餐,0,中式,松山區
東引小吃店,臺北市松山區南京東路五段291巷20弄內,https://ifoodie.tw/restaurant/559d784bc03a103ee86c7c97-%E6%9D%B1%E5%BC%95%E5%B0%8F%E5%90%83%E5%BA%97,https://ifoodie.tw/blog/683252b903f83f4517257eeb/link,找相似餐廳;小吃;牛肉麵;宵夜;午餐,0,台式,松山區
聚園餐廳,臺北市松山區民生東路三段113巷25弄39號,https://ifoodie.tw/restaurant/64a6d07801ba3355b970ae29-%E8%81%9A%E5%9C%92%E9%A4%90%E5%BB%B3,https://ifoodie.tw/blog/6831c53b098226745ebcdefd/link,找相似餐廳;中式料理;合菜;午餐;晚餐,0,中式,松山區
天鷄麵屋坊,臺北市大同區南京西路18巷4弄8之1號1樓,https://ifoodie.tw/restaurant/6644817d7be9c36910055d36-%E5%A4%A9%E9%B7%84%E9%BA%B5%E5%B1%8B%E5%9D%8A,https://ifoodie.tw/blog/68318d687be7bd12cbbca591/link,找相似餐廳;拉麵;日本料理;午餐;晚餐,0,日式,大同區
千里之外桂林米粉,臺北市中山區民生東路二段115巷24號,https://ifoodie.tw/restaurant/68316b76927f801bf21d1d45-%E5%8D%83%E9%87%8C%E4%B9%8B%E5%A4%96-%E6%A1%82%E6%9E%97%E7%B1%B3%E7%B2%89,https://ifoodie.tw/blog/68316a0beb74c4a287f068e2/link,小吃;午餐;麵食,0,台式,中山區
小林英夫懷石日本料理壽司店,臺北市萬華區康定路120號,https://ifoodie.tw/restaurant/55b9494a40b5e303a1d5697e-%E5%B0%8F%E6%9E%97%E8%8B%B1%E5%A4%AB%E6%87%B7%E7%9F%B3%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86%E5%A3%BD%E5%8F%B8%E5%BA%97,https://ifoodie.tw/blog/68319c637be9c35b1e6d74a7/link,找相似餐廳;日本料理;約會餐廳;午餐,0,日式,萬華區
BeApe法國傳統餐酒館,臺北市中山區中山北路二段72巷1號2F,https://ifoodie.tw/restaurant/591c90fa2756dd5483ad9003-BeApe%E6%B3%95%E5%9C%8B%E5%82%B3%E7%B5%B1%E9%A4%90%E9%85%92%E9%A4%A8,https://ifoodie.tw/blog/6831c617e83cf474d5bbe950/link,找相似餐廳;餐酒館;精緻高級;約會餐廳,0,其他,中山區
文華Café-CaféUnDeuxTrois,臺北市松山區敦化北路158號5樓,https://ifoodie.tw/restaurant/559d561bc03a103ee86c6587-%E6%96%87%E8%8F%AF-Caf-Caf-Un-Deux-T,https://ifoodie.tw/blog/68310133d71e3f12c0e3d463/link,找相似餐廳;甜點;精緻高級;午餐,0,其他,松山區
江浙秀蘭小館,臺北市大安區信義路二段198巷5之5號,https://ifoodie.tw/restaurant/5f572a0f2756dd155d8e58a6-%E6%B1%9F%E6%B5%99-%E7%A7%80%E8%98%AD%E5%B0%8F%E9%A4%A8,https://ifoodie.tw/blog/6831019b92af97161cbdd1f1/link,找相似餐廳;中式料理;合菜;午餐;晚餐,0,中式,大安區
阿娥水餃,臺北市中山區南京東路二段21巷9號,https://ifoodie.tw/restaurant/559d9d0cc03a103ee86c90b5-%E9%98%BF%E5%A8%A5%E6%B0%B4%E9%A4%83,https://ifoodie.tw/blog/68311c887afc4945f15d3483/link,找相似餐廳;小吃;午餐;餃子,0,中式,中山區
人和園雲南菜,臺北市中山區中山北路二段112號2樓,https://ifoodie.tw/restaurant/559d2829c03a103ee86c4718-%E4%BA%BA%E5%92%8C%E5%9C%92%E9%9B%B2%E5%8D%97%E8%8F%9C,https://ifoodie.tw/blog/683101a192af97161cbdd1f4/link,找相似餐廳;中式料理;午餐;晚餐,0,中式,中山區
CRO#FEE咖啡井,臺北市大安區忠孝東路三段248巷11之1號1樓,https://ifoodie.tw/restaurant/651be3200fe5a9031a5ba9ec-CRO-FEE-%E5%92%96%E5%95%A1%E4%BA%95,https://ifoodie.tw/blog/6831006a246e601278c6d7dd/link,找相似餐廳;咖啡;寵物友善;早午餐,0,其他,大安區
二屋牡蠣拉麵專門店,臺北市大同區赤峰街35巷11號1樓,https://ifoodie.tw/restaurant/6262ad347cc7fc7069552708-%E4%BA%8C%E5%B1%8B-%E7%89%A1%E8%A0%A3%E6%8B%89%E9%BA%B5%E5%B0%88%E9%96%80%E5%BA%97,https://ifoodie.tw/blog/683184f9eb74c4a287f07f4b/link,找相似餐廳;拉麵;日本料理;午餐;晚餐,0,日式,大同區
擼吉霸-成都串串火鍋,臺北市中山區林森北路508號,https://ifoodie.tw/restaurant/6565a8ef7be9c381fdeffd9e-%E6%93%BC%E5%90%89%E9%9C%B8-%E6%88%90%E9%83%BD%E4%B8%B2%E4%B8%B2%E7%81%AB%E9%8D%8B,https://ifoodie.tw/blog/6831711851dfc37a5301daa8/link,找相似餐廳;火鍋;午餐;晚餐,0,台式,中山區
涮乃葉忠孝明曜店,臺北市大安區忠孝東路四段200號11樓,https://ifoodie.tw/restaurant/68315587eb74c4c99c70cc85-%E6%B6%AE%E4%B9%83%E8%91%89-%E5%BF%A0%E5%AD%9D%E6%98%8E%E6%9B%9C%E5%BA%97,https://ifoodie.tw/blog/683155487be9c33dde7007fd/link,甜點;火鍋,0,台式,大安區
PAICAFÉ&BRUNCH,臺北市松山區八德路二段366巷11號,https://ifoodie.tw/restaurant/65eb10a0927f80107c16cfb1-PAI-CAF-BRUNCH,https://ifoodie.tw/blog/6830c5eeeb74c44376060ffd/link,找相似餐廳;咖啡;早午餐,0,其他,松山區
京簡康台北延平店,臺北市中正區延平南路171巷1號1樓,https://ifoodie.tw/restaurant/67cee734927f8046d6d57feb-%E4%BA%AC%E7%B0%A1%E5%BA%B7-%E5%8F%B0%E5%8C%97%E5%BB%B6%E5%B9%B3%E5%BA%97,https://ifoodie.tw/blog/68317234adc8d48dd070dba8/link,找相似餐廳;午餐;晚餐;餐盒,0,其他,中正區
T+T,臺北市松山區敦化北路165巷11號,https://ifoodie.tw/restaurant/5e72e881d6895d43cf36913d-T-T,https://ifoodie.tw/blog/6831c611e83cf474d5bbe94f/link,找相似餐廳;餐酒館;小吃;約會餐廳,0,台式,松山區
市民大道涮涮鍋東興店,臺北市松山區東興路1號,https://ifoodie.tw/restaurant/5bb0dcf72756dd3ce23812e3-%E5%B8%82%E6%B0%91%E5%A4%A7%E9%81%93%E6%B6%AE%E6%B6%AE%E9%8D%8B%E6%9D%B1%E8%88%88%E5%BA%97,https://ifoodie.tw/blog/683100c09753d01297fc885e/link,找相似餐廳;火鍋;宵夜;晚餐,0,台式,松山區
好記擔仔麵,臺北市中山區吉林路79號,https://ifoodie.tw/restaurant/559d14b4c03a103ee86c3b56-%E5%A5%BD%E8%A8%98%E6%93%94%E4%BB%94%E9%BA%B5,https://ifoodie.tw/blog/682faf4cba86518914a30e12/link,找相似餐廳;中式料理;約會餐廳;合菜,0,中式,中山區
張記包子店,臺北市萬華區中華路一段200號,https://ifoodie.tw/restaurant/559db95bc03a103ee86c9f6a-%E5%BC%B5%E8%A8%98%E5%8C%85%E5%AD%90%E5%BA%97,https://ifoodie.tw/blog/68303b72d72c8bc0f7108ba8/link,找相似餐廳;小吃;午餐;餃子,0,中式,萬華區
Mr.庖匠早午餐(入口請走捷運橋下),臺北市士林區福壽街31號1樓,https://ifoodie.tw/restaurant/68301c9a7be9c3e23b1ce98a-Mr-%E5%BA%96%E5%8C%A0%E6%97%A9%E5%8D%88%E9%A4%90-%E5%85%A5%E5%8F%A3%E8%AB%8B%E8%B5%B0%E6%8D%B7%E9%81%8B%E6%A9%8B%E4%B8%8B-,https://ifoodie.tw/blog/68301c35eb74c41f8c76c483/link,早午餐;午餐,0,其他,士林區
大橋頭老牌筒仔米糕,臺北市大同區延平北路三段41號,https://ifoodie.tw/restaurant/559d1852c03a103ee86c3d83-%E5%A4%A7%E6%A9%8B%E9%A0%AD%E8%80%81%E7%89%8C%E7%AD%92%E4%BB%94%E7%B1%B3%E7%B3%95,https://ifoodie.tw/blog/68302737eb74c41f8c76ce09/link,找相似餐廳;小吃;早餐;午餐;下午茶,0,台式,大同區
福餃｜日式煎餃/燉肉/雞湯/白飯/宵夜專門店,臺北市中山區中山北路二段65巷17號1樓,https://ifoodie.tw/restaurant/67f908fa927f80bc2f80ccc4-%E7%A6%8F%E9%A4%83-%E6%97%A5%E5%BC%8F%E7%85%8E%E9%A4%83-%E7%87%89%E8%82%89-%E9%9B%9E%E6%B9%AF-%E7%99%BD%E9%A3%AF-%E5%AE%B5%E5%A4%9C-,https://ifoodie.tw/blog/682fb04ff3376e8cbaf3dae8/link,找相似餐廳;日本料理;新開幕;晚餐,0,日式,中山區
貍小籠點心專門店,臺北市大同區延平北路二段60巷21號,https://ifoodie.tw/restaurant/60dd1973cd9957180732b5d7-%E8%B2%8D%E5%B0%8F%E7%B1%A0%E9%BB%9E%E5%BF%83%E5%B0%88%E9%96%80%E5%BA%97,https://ifoodie.tw/blog/682fafc2302923893e1c4818/link,找相似餐廳;港式料理;中式料理;合菜,0,中式,大同區
阿寶師福州精緻點心,臺北市萬華區德昌街100號,https://ifoodie.tw/restaurant/589e02112756dd5bcda2f3bd-%E9%98%BF%E5%AF%B6%E5%B8%AB%E7%A6%8F%E5%B7%9E%E7%B2%BE%E7%B7%BB%E9%BB%9E%E5%BF%83,https://ifoodie.tw/blog/682fcd237be9c3cf1aa08d00/link,找相似餐廳;小吃;合菜;約會餐廳;午餐,0,台式,萬華區
SupranormalBakeryCafe,臺北市大同區赤峰街71巷27號,https://ifoodie.tw/restaurant/665da25558fdbe5547fc9c13-Supranormal-Bakery-C,https://ifoodie.tw/blog/682fcbedf3ae7de5c6e9d497/link,找相似餐廳;咖啡;早餐;早午餐;下午茶,0,其他,大同區
金春發牛肉麵店復興北路店,臺北市中山區復興北路202號,https://ifoodie.tw/restaurant/60f9118c781cc0439a452afa-%E9%87%91%E6%98%A5%E7%99%BC%E7%89%9B%E8%82%89%E9%BA%B5%E5%BA%97-%E5%BE%A9%E8%88%88%E5%8C%97%E8%B7%AF%E5%BA%97,https://ifoodie.tw/blog/683020be1e6c391568ea168e/link,找相似餐廳;火鍋;牛肉麵;小吃;午餐,0,台式,中山區
清河鵝肉,臺北市士林區德行東路129巷10號,https://ifoodie.tw/restaurant/5cdacf4d2756dd72be09371a-%E6%B8%85%E6%B2%B3%E9%B5%9D%E8%82%89,https://ifoodie.tw/blog/68303cdf55b837c4a3f45e25/link,找相似餐廳;小吃;早餐;晚餐,0,台式,士林區
原汁排骨湯和平本舖,臺北市萬華區和平西路三段174之3號,https://ifoodie.tw/restaurant/5f184bac2756dd340a81ec4b-%E5%8E%9F%E6%B1%81%E6%8E%92%E9%AA%A8%E6%B9%AF-%E5%92%8C%E5%B9%B3%E6%9C%AC%E8%88%96,https://ifoodie.tw/blog/68301f5ab0fb655c9e656ce2/link,找相似餐廳;小吃;午餐;晚餐,0,台式,萬華區
沐子李冰品飲料店,臺北市大同區重慶北路一段49巷18號,https://ifoodie.tw/restaurant/68303e23927f80a7d8faddac-%E6%B2%90%E5%AD%90%E6%9D%8E-%E5%86%B0%E5%93%81%E9%A3%B2%E6%96%99%E5%BA%97,https://ifoodie.tw/blog/68303de7927f80a7d8fadd94/link,飲料店;甜點;小吃,0,台式,大同區
巢飯,臺北市信義區基隆路一段190巷5號,https://ifoodie.tw/restaurant/615e3dcb873d795329f8ae6a-%E5%B7%A2%E9%A3%AF,https://ifoodie.tw/blog/68303c4fa71055c140a8e041/link,找相似餐廳;中式料理;午餐;晚餐,0,中式,信義區
名古屋銅鑼燒日式點心,臺北市大同區永樂市場,https://ifoodie.tw/restaurant/5b1823f22756dd6585a56921-%E5%90%8D%E5%8F%A4%E5%B1%8B%E9%8A%85%E9%91%BC%E7%87%92%E6%97%A5%E5%BC%8F%E9%BB%9E%E5%BF%83,https://ifoodie.tw/blog/683074a2a54bb1425be2f9bf/link,找相似餐廳;日本料理;小吃;甜點;午餐,0,台式,大同區
VEGETEJIYA菜豚屋,臺北市松山區八德路二段410巷16弄8號,https://ifoodie.tw/restaurant/559dc0dac03a103ee86ca54a-VEGE-TEJI-YA-%E8%8F%9C%E8%B1%9A%E5%B1%8B,https://ifoodie.tw/blog/683073ba286b80420f350b62/link,找相似餐廳;燒肉;晚餐;韓式料理,0,韓式,松山區
京簡康(台北吳興店),臺北市信義區吳興街26號,https://ifoodie.tw/restaurant/67c5ac67927f8046d6b70cf3-%E4%BA%AC%E7%B0%A1%E5%BA%B7-%E5%8F%B0%E5%8C%97%E5%90%B3%E8%88%88%E5%BA%97-,https://ifoodie.tw/blog/683020b71e6c391568ea1689/link,找相似餐廳;午餐;晚餐;餐盒,0,其他,信義區
中原福州乾麵,臺北市中正區延平南路164號,https://ifoodie.tw/restaurant/559db89ac03a103ee86c9f23-%E4%B8%AD%E5%8E%9F%E7%A6%8F%E5%B7%9E%E4%B9%BE%E9%BA%B5,https://ifoodie.tw/blog/682faf4cba86518914a30e11/link,找相似餐廳;小吃;早餐;午餐,0,台式,中正區
囍愛義廚館FANCYPASTA,臺北市萬華區內江街39號,https://ifoodie.tw/restaurant/56eaf2922756dd6109efd9e0-%E5%9B%8D%E6%84%9B%E7%BE%A9%E5%BB%9A%E9%A4%A8FANCY-PASTA,https://ifoodie.tw/blog/682fde71927f809afaba4ebf/link,找相似餐廳;義式料理;寵物友善;午餐,0,義式,萬華區
